%% logfile from robot Ella (8)
% Ella (8)
%  1    time 4.000 sec
%  2 .. 22 Edge sensor: left -2.660000 1, right 0.685029 1, values 2147 2711 2827 2939 2381 1685 1311 1101, white 1, used 1, LEDhigh=1, xb=0 xw=0 xbc=0 xwc=0 lvl=5 lvr=5       whitelevel=[2276 2639 2892 2996 2872 2671 2521 2194]       blacklevel=[0 0 0 0 0 0 19 33]
% 23 32 ctrl edge, ref=0.5, m=0.685029, m2=1.68664, uf=0, r2=0.5, ep=-0.237328,up=-0.0841262, ui=0, u1=-0.0841262, u=-0.0841262
4.202 -2.6600 1 2.6600 1  2182 2608 2855 2969 2829 2625 2446 2262  1 1 1 0 1 0 17 5 5 0.5 0.5 0.499362 0 0.5 0.000127602 -0.00780944 0 -0.00780944 -0.00780944 
4.204 -2.6600 1 2.6600 1  2184 2720 2856 2922 2832 2643 2457 2142  1 1 1 0 1 0 19 5 5 0.5 0.5 0.499521 0 0.5 9.58681e-05 -0.00756016 0 -0.00756016 -0.00756016 
4.206 -2.6600 1 2.7164 1  2181 2643 2853 3054 2834 2571 2466 2012  1 1 1 0 1 0 20 5 5 0.5 0.5 0.49964 0 0.5 7.20263e-05 -0.00731738 0 -0.00731738 -0.00731738 
4.208 -2.6600 1 2.6805 1  2190 2468 2859 2958 2842 2544 2464 1914  1 1 1 0 1 0 20 5 5 0.5 0.5 0.499729 0 0.5 5.4121e-05 -0.00708129 0 -0.00708129 -0.00708129 
4.210 -2.6600 1 2.7557 1  2175 2373 2858 2921 2848 2632 2473 2124  1 1 1 0 1 0 20 5 5 0.5 0.5 0.499797 0 0.5 4.06742e-05 -0.00685199 0 -0.00685199 -0.00685199 
4.212 -2.6600 1 2.6976 1  2187 2756 2853 3100 2844 2500 2476 1962  1 1 1 0 1 0 20 5 5 0.5 0.5 0.499847 0 0.5 3.05653e-05 -0.0066295 0 -0.0066295 -0.0066295 
4.214 -2.6600 1 2.6600 1  2186 2576 2857 3063 2853 2660 2479 2119  1 1 1 0 1 0 19 5 5 0.5 0.5 0.499885 0 0.5 2.29836e-05 -0.00641377 0 -0.00641377 -0.00641377 
4.216 -2.6600 1 2.7403 1  2183 2484 2857 2962 2855 2564 2483 2083  1 1 1 0 1 0 20 5 5 0.5 0.5 0.499914 0 0.5 1.72853e-05 -0.00620471 0 -0.00620471 -0.00620471 
4.218 -2.6600 1 2.7028 1  2194 2534 2862 2970 2857 2594 2490 1974  1 1 1 0 1 0 20 5 5 0.5 0.5 0.499935 0 0.5 1.30177e-05 -0.00600219 0 -0.00600219 -0.00600219 
4.220 -2.6600 1 2.6600 1  2188 2654 2856 3032 2860 2623 2491 2137  1 1 1 0 1 0 20 5 5 0.5 0.5 0.499951 0 0.5 9.799e-06 -0.00580609 0 -0.00580609 -0.00580609 
