%% logfile from robot Silke (54)
% log is empty
% Silke (54)
%  1    time 2.003 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7  8 Gyro x,y,z [deg/s]: 0.0305176 -2.2583 2.2583
%  9 10 Motor velocity ref left, right: 0.0338 0.0342
% 11 12 Wheel velocity [m/s] left, right: 0.0181 0.0125
% 13 14 15 16 Pose x,y,h,tilt [m,m,rad,rad]: 0.0355435 -3.92846e-05 0.00259112 -0.0107826
% 17 .. 37 Edge sensor: left 0.000000 0, right 0.000000 0, values 553 609 699 694 703 717 729 564, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[923 1039 1179 1162 1189 1192 1201 920]       blacklevel=[132 155 174 173 174 176 174 137]
2.378 2 1 1 0 1.892090 27.343750 0.396729 0.2088 0.2068 0.1723 0.2217 0.0478 -0.0000 0.000000 0.035611 0.0000 0 0.0000 0  633 733 809 791 792 812 821 654  1 1 0 0 0 0 0 0 0 
2.383 2 1 1 0 3.021240 27.801514 2.471924 0.2088 0.1968 0.1715 0.1996 0.0488 -0.0000 0.002591 0.033401 0.0000 0 0.0000 0  633 677 807 789 768 803 823 630  1 1 0 0 0 0 0 0 0 
2.388 2 1 1 0 -0.457764 32.318115 -2.410889 0.1946 0.1786 0.1751 0.1333 0.0494 -0.0000 0.000000 0.030443 0.0000 0 0.0000 0  633 691 800 786 771 802 812 586  1 1 0 0 0 0 0 0 0 
2.393 2 1 1 0 -1.678467 29.266357 -0.366211 0.1984 0.1785 0.1783 0.1775 0.0504 -0.0000 0.002591 0.027906 0.0000 0 0.0000 0  618 698 809 779 776 795 811 630  1 1 0 0 0 0 0 0 0 
2.398 2 1 1 0 1.312256 24.627686 0.488281 0.2009 0.1869 0.1940 0.1590 0.0514 -0.0000 0.000000 0.025397 0.0000 0 0.0000 0  613 682 767 775 762 786 799 619  1 1 0 0 0 0 0 0 0 
2.403 2 1 1 0 0.549316 27.069092 -1.037598 0.1934 0.1835 0.1783 0.1759 0.0522 -0.0000 0.000000 0.023291 0.0000 0 0.0000 0  611 714 813 766 779 786 796 594  1 1 0 0 0 0 0 0 0 
2.408 2 1 1 0 0.244141 27.130127 -0.549316 0.1899 0.1946 0.1707 0.1442 0.0530 -0.0000 0.000000 0.020777 0.0000 0 0.0000 0  615 703 770 761 758 779 791 641  1 1 0 0 0 0 0 0 0 
2.413 2 1 1 0 -0.213623 25.634766 1.007080 0.1943 0.1956 0.1514 0.1948 0.0538 -0.0000 0.000000 0.018386 0.0000 0 0.0000 0  612 675 775 749 745 781 785 587  1 1 0 0 0 0 0 0 0 
2.418 2 1 1 0 0.213623 23.406982 1.556396 0.1987 0.1967 0.1743 0.2113 0.0548 -0.0000 0.002591 0.016215 0.0000 0 0.0000 0  606 670 757 748 757 772 780 598  1 1 0 0 0 0 0 0 0 
2.423 2 1 1 0 2.563477 29.388428 1.831055 0.1816 0.1736 0.1554 0.1759 0.0556 -0.0000 0.002591 0.013707 0.0000 0 0.0000 0  601 662 744 741 745 755 775 595  1 1 0 0 0 0 0 0 0 
2.428 2 1 1 0 -0.274658 24.993896 -0.183105 0.1816 0.1676 0.1574 0.1623 0.0564 -0.0000 0.002591 0.011650 0.0000 0 0.0000 0  588 668 761 731 735 753 770 580  1 1 0 0 0 0 0 0 0 
2.433 2 1 1 0 -0.640869 22.979736 1.586914 0.1799 0.1599 0.1735 0.1731 0.0572 -0.0000 0.002591 0.009402 0.0000 0 0.0000 0  598 666 758 726 731 749 762 577  1 1 0 0 0 0 0 0 0 
2.438 2 1 1 0 1.373291 19.775391 1.129150 0.1828 0.1568 0.1631 0.1839 0.0580 -0.0000 0.002591 0.007786 0.0000 0 0.0000 0  593 654 713 722 717 754 761 584  1 1 0 0 0 0 0 0 0 
2.443 2 1 1 0 1.892090 19.012451 -0.671387 0.1736 0.1596 0.1751 0.1382 0.0590 -0.0000 0.000000 0.006152 0.0000 0 0.0000 0  583 656 748 716 721 762 751 574  1 1 0 0 0 0 0 0 0 
2.448 2 1 1 0 -0.915527 15.289307 0.854492 0.1740 0.1770 0.1490 0.1217 0.0594 -0.0000 0.000000 0.004902 0.0000 0 0.0000 0  582 656 716 711 716 708 748 590  1 1 0 0 0 0 0 0 0 
2.453 2 1 1 0 0.030518 10.894775 0.762939 0.1848 0.1870 0.1687 0.1884 0.0606 -0.0000 0.000000 0.003669 0.0000 0 0.0000 0  581 652 739 707 720 758 746 583  1 1 0 0 0 0 0 0 0 
2.458 2 1 1 0 0.793457 15.350342 0.854492 0.1795 0.1775 0.1406 0.1912 0.0612 -0.0000 0.002591 0.002664 0.0000 0 0.0000 0  583 644 711 709 713 721 742 576  1 1 0 0 0 0 0 0 0 
2.463 2 1 1 0 -0.549316 16.754150 -1.922607 0.1688 0.1648 0.1442 0.1498 0.0621 -0.0000 0.002591 0.001225 0.0000 0 0.0000 0  583 643 686 700 706 717 739 581  1 1 0 0 0 0 0 0 0 
2.468 2 1 1 0 0.061035 15.777588 1.312256 0.1637 0.1660 0.1687 0.1257 0.0627 -0.0000 0.000000 -0.000398 0.0000 0 0.0000 0  569 643 737 700 710 747 725 560  1 1 0 0 0 0 0 0 0 
2.473 2 1 1 0 -0.946045 11.993408 -0.366211 0.1696 0.1676 0.1402 0.1831 0.0637 -0.0000 0.002591 -0.001398 0.0000 0 0.0000 0  573 638 703 696 703 698 725 562  1 1 0 0 0 0 0 0 0 
2.478 2 1 1 0 0.946045 10.009766 0.793457 0.1704 0.1624 0.1474 0.1807 0.0645 -0.0000 0.002591 -0.002217 0.0000 0 0.0000 0  577 628 710 695 701 727 719 550  1 1 0 0 0 0 0 0 0 
