%% logfile from robot Karla (10)
% Karla (10)
%  1    time 2.002 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7 Wheel velocity [m/s] left, right: 0.0430 0.0434
%  8  9 10 11 Pose x,y,h,tilt [m,m,rad,rad]: 0.0234557 0.00259583 0.00259112 0.0357512
% 12 .. 32 Edge sensor: left -2.983517 0, right -0.952187 0, values 562 796 903 911 886 805 771 639, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[884 1280 1410 1427 1392 1268 1229 999]       blacklevel=[119 163 174 182 180 171 150 124]
% 12 13 Get data time [us]: 100 +ctrl 460
2.437 2 1 1 0 0.1450 0.1205 0.0457 0.0024 -0.015547 0.108053 -4.1800 0 -1.0608 0  715 1023 1084 1072 1073 975 941 748  1 1 0 0 0 0 0 0 0 100 460 
2.442 2 1 1 0 0.1735 0.1482 0.0465 0.0024 -0.015547 0.108028 -4.1800 0 -1.0608 0  705 1008 1084 1082 1080 1002 948 744  1 1 0 0 0 0 0 0 0 100 470 
2.447 2 1 1 0 0.1699 0.2217 0.0476 0.0024 -0.012956 0.108307 -4.1800 0 -1.0608 0  704 1012 1112 1078 1100 989 947 753  1 1 0 0 0 0 0 0 0 100 470 
2.452 2 1 1 0 0.1847 0.1928 0.0484 0.0024 -0.012956 0.108263 -4.1800 0 -1.0608 0  708 1010 1091 1087 1084 1025 946 739  1 1 0 0 0 0 0 0 0 100 460 
2.457 2 1 1 0 0.1807 0.1566 0.0492 0.0023 -0.012956 0.107853 -4.1800 0 -1.0608 0  706 1006 1110 1085 1084 1017 949 745  1 1 0 0 0 0 0 0 0 100 460 
2.462 2 1 1 0 0.2133 0.1550 0.0502 0.0023 -0.015547 0.107014 -4.1800 0 -1.0608 0  689 1002 1081 1089 1084 966 955 747  1 1 0 0 0 0 0 0 0 100 470 
2.467 2 1 1 0 0.1948 0.2434 0.0512 0.0023 -0.012956 0.106418 -4.1800 0 -1.0608 0  684 1001 1062 1093 1086 970 945 746  1 1 0 0 0 0 0 0 0 100 460 
2.472 2 1 1 0 0.1663 0.2293 0.0522 0.0023 -0.010364 0.106011 -4.1800 0 -1.0608 0  681 992 1081 1092 1081 995 947 765  1 1 0 0 0 0 0 0 0 100 460 
2.477 2 1 1 0 0.2281 0.1815 0.0532 0.0023 -0.012956 0.105510 -4.1800 0 -1.0608 0  699 991 1084 1091 1075 986 948 751  1 1 0 0 0 0 0 0 0 100 460 
2.482 2 1 1 0 0.2462 0.2133 0.0544 0.0023 -0.012956 0.103719 -4.1800 0 -1.0608 0  720 986 1087 1100 1075 1024 950 752  1 1 0 0 0 0 0 0 0 100 460 
2.487 2 1 1 0 0.1450 0.2133 0.0554 0.0023 -0.010364 0.101815 -4.1800 0 -1.0608 0  685 978 1078 1076 1063 973 945 754  1 1 0 0 0 0 0 0 0 100 460 
2.492 2 1 1 0 0.2554 0.2181 0.0566 0.0023 -0.010364 0.101443 -4.1800 0 -1.0608 0  648 958 1050 1063 1061 1005 983 778  1 1 0 0 0 0 0 0 0 100 460 
2.497 2 1 1 0 0.2510 0.2217 0.0574 0.0022 -0.010364 0.100914 -4.1800 0 -1.0608 0  700 971 1087 1090 1061 958 943 748  1 1 0 0 0 0 0 0 0 100 460 
2.502 2 1 1 0 0.2281 0.2446 0.0586 0.0022 -0.010364 0.099464 -4.1800 0 -1.0608 0  659 969 1104 1080 1053 976 945 748  1 1 0 0 0 0 0 0 0 100 460 
2.507 2 1 1 0 0.2434 0.2333 0.0598 0.0022 -0.010364 0.098117 -4.1800 0 -1.0608 0  663 969 1071 1109 1054 969 943 740  1 1 0 0 0 0 0 0 0 100 470 
2.512 2 1 1 0 0.2157 0.2241 0.0610 0.0022 -0.010364 0.096808 -4.1800 0 -1.0608 0  668 959 1078 1075 1050 980 939 739  1 1 0 0 0 0 0 0 0 100 470 
2.517 2 1 1 0 0.2253 0.2402 0.0622 0.0022 -0.010364 0.095162 -4.1800 0 -1.0608 0  624 956 1066 1067 1046 943 929 740  1 1 0 0 0 0 0 0 0 100 430 
2.522 2 1 1 0 0.2133 0.2510 0.0634 0.0022 -0.010364 0.093963 -4.1800 0 -1.0608 0  679 959 1078 1062 1041 940 919 739  1 1 0 0 0 0 0 0 0 100 460 
2.527 2 1 1 0 0.2695 0.2434 0.0646 0.0022 -0.010364 0.092788 -4.1800 0 -1.0608 0  661 956 1073 1067 1035 932 939 742  1 1 0 0 0 0 0 0 0 100 460 
2.532 2 1 1 0 0.3016 0.2623 0.0658 0.0022 -0.010364 0.091711 -4.1800 0 -1.0608 0  690 965 1068 1083 1030 967 917 737  1 1 0 0 0 0 0 0 0 100 460 
2.537 2 1 1 0 0.2695 0.2695 0.0670 0.0021 -0.010364 0.090696 -4.1800 0 -1.0608 0  690 953 1074 1044 1029 957 892 740  1 1 0 0 0 0 0 0 0 100 460 
2.542 2 1 1 0 0.2100 0.2522 0.0682 0.0021 -0.010364 0.089218 -4.1800 0 -1.0608 0  670 961 1049 1024 1021 927 926 735  1 1 0 0 0 0 0 0 0 100 460 
2.547 2 1 1 0 0.2928 0.2639 0.0698 0.0021 -0.010364 0.087740 -4.1800 0 -1.0608 0  649 950 1054 1052 1021 930 917 741  1 1 0 0 0 0 0 0 0 100 460 
2.552 2 1 1 0 0.2574 0.2590 0.0710 0.0021 -0.010364 0.086014 -4.1800 0 -1.0608 0  623 947 1046 1034 1011 940 943 742  1 1 0 0 0 0 0 0 0 100 470 
2.557 2 1 1 0 0.2827 0.2623 0.0723 0.0021 -0.010364 0.084349 -4.1800 0 -1.0608 0  658 955 1043 1040 1004 937 929 749  1 1 0 0 0 0 0 0 0 100 460 
2.562 2 1 1 0 0.3896 0.3040 0.0739 0.0021 -0.010364 0.083182 -4.1800 0 -1.0608 0  673 938 1038 1021 998 933 918 757  1 1 0 0 0 0 0 0 0 100 460 
2.567 2 1 1 0 0.2827 0.2747 0.0751 0.0021 -0.010364 0.082199 -4.1800 0 -1.0608 0  639 907 1036 1030 1000 933 945 763  1 1 0 0 0 0 0 0 0 100 460 
2.572 2 1 1 0 0.2827 0.2908 0.0767 0.0020 -0.010364 0.080332 -4.1800 0 -1.0608 0  645 939 1032 1015 992 924 929 765  1 1 0 0 0 0 0 0 0 100 450 
2.577 2 1 1 0 0.2623 0.2711 0.0779 0.0020 -0.010364 0.078262 -4.1800 0 -1.0608 0  654 931 1031 1017 989 926 944 762  1 1 0 0 0 0 0 0 0 100 460 
2.582 2 1 1 0 0.2767 0.2868 0.0793 0.0020 -0.007773 0.076071 -4.1800 0 -1.0608 0  667 937 1037 1012 995 924 936 764  1 1 0 0 0 0 0 0 0 100 470 
2.587 2 1 1 0 0.3016 0.3040 0.0807 0.0020 -0.010364 0.074568 -4.1800 0 -1.0608 0  623 941 1037 1021 1005 943 920 754  1 1 0 0 0 0 0 0 0 100 470 
2.592 2 1 1 0 0.3213 0.2868 0.0823 0.0020 -0.010364 0.073778 -4.1800 0 -1.0608 0  665 933 1039 1015 1010 937 924 764  1 1 0 0 0 0 0 0 0 100 460 
2.597 2 1 1 0 0.3237 0.3064 0.0837 0.0020 -0.007773 0.072475 -4.1800 0 -1.0608 0  622 913 1040 1042 1016 947 938 763  1 1 0 0 0 0 0 0 0 100 470 
